camera_id,camera_name,latitude,longitude,image_url,source_document
camara05305,,40.448778,-3.677675,https://informo.madrid.es/cameras/Camara05305.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara08301,,40.485905,-3.694026,https://informo.madrid.es/cameras/Camara08301.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara09311,,40.422944,-3.728145,https://informo.madrid.es/cameras/Camara09311.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara08314,,40.471108,-3.711806,https://informo.madrid.es/cameras/Camara08314.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara20302,,40.418228,-3.623791,https://informo.madrid.es/cameras/Camara20302.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara07304,,40.434936,-3.688736,https://informo.madrid.es/cameras/Camara07304.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara04314,,40.425225,-3.683951,https://informo.madrid.es/cameras/Camara04314.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara04315,,40.425060,-3.684212,https://informo.madrid.es/cameras/Camara04315.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara15307,,40.431769,-3.660270,https://informo.madrid.es/cameras/Camara15307.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara06311,,40.460560,-3.698625,https://informo.madrid.es/cameras/Camara06311.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara20303,,40.421171,-3.611072,https://informo.madrid.es/cameras/Camara20303.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara20304,,40.435488,-3.606559,https://informo.madrid.es/cameras/Camara20304.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara20305,,40.434563,-3.612066,https://informo.madrid.es/cameras/Camara20305.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara20301,,40.424503,-3.628318,https://informo.madrid.es/cameras/Camara20301.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara02301,,40.397432,-3.694238,https://informo.madrid.es/cameras/Camara02301.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara02302,,40.404874,-3.690556,https://informo.madrid.es/cameras/Camara02302.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara12301,,40.387845,-3.699177,https://informo.madrid.es/cameras/Camara12301.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara11303,,40.393147,-3.706110,https://informo.madrid.es/cameras/Camara11303.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara12309,,40.385360,-3.695964,https://informo.madrid.es/cameras/Camara12309.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara12304,,40.369657,-3.720073,https://informo.madrid.es/cameras/Camara12304.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara12307,,40.373902,-3.719506,https://informo.madrid.es/cameras/Camara12307.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara12306,,40.373422,-3.712322,https://informo.madrid.es/cameras/Camara12306.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara12305,,40.370821,-3.694365,https://informo.madrid.es/cameras/Camara12305.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara12303,,40.390644,-3.710091,https://informo.madrid.es/cameras/Camara12303.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara12308,,40.364215,-3.693968,https://informo.madrid.es/cameras/Camara12308.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara01316,,40.417955,-3.699356,https://informo.madrid.es/cameras/Camara01316.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara01315,,40.419741,-3.699759,https://informo.madrid.es/cameras/Camara01315.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara21301,,40.469161,-3.581430,https://informo.madrid.es/cameras/Camara21301.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara05309,,40.467180,-3.674344,https://informo.madrid.es/cameras/Camara05309.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara10308,,40.376501,-3.749901,https://informo.madrid.es/cameras/Camara10308.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara05301,,40.471034,-3.672134,https://informo.madrid.es/cameras/Camara05301.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara05302,,40.460244,-3.664902,https://informo.madrid.es/cameras/Camara05302.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara03305,,40.406205,-3.665663,https://informo.madrid.es/cameras/Camara03305.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara04301,,40.418544,-3.658247,https://informo.madrid.es/cameras/Camara04301.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
